Location,Rainfall (mm),Depth_to_Water_Level (m),Seasonal_Fluctuation (m),Soil_Type,Rock_Type,Aquifer_Type,Required_Bore_Depth (m)
Nizamabad,1120.85,8.17,4.12,Loamy,Basalt,Semi-confined,14.53
Warangal,1759.71,8.04,4.24,Loamy,Schist,Unconfined,14.69
Hyderabad,1222.02,6.52,2.77,Laterite,Granite,Semi-confined,11.74
Medak,1227.3,14.48,2.04,Red Sandy,Schist,Semi-confined,17.82
Karimnagar,1219.42,6.9,3.07,Black Cotton,Granite,Confined,11.89
Mahabubnagar,1249.68,7.44,4.66,Black Cotton,Granite,Semi-confined,14.51
Rangareddy,1106.13,7.71,4.91,Red Sandy,Basalt,Unconfined,15.48
Nizamabad,1161.0,8.49,4.94,Loamy,Schist,Confined,14.7
Adilabad,1043.18,5.57,2.81,Laterite,Basalt,Semi-confined,10.8
Nizamabad,1075.64,8.27,1.82,Loamy,Quartzite,Unconfined,12.41
Nizamabad,1150.36,6.63,4.97,Laterite,Basalt,Unconfined,12.94
Medak,1242.38,14.77,3.45,Laterite,Schist,Confined,20.51
Adilabad,1071.25,3.42,3.97,Loamy,Granite,Unconfined,9.79
Medak,1248.1,16.62,3.08,Loamy,Basalt,Confined,20.92
Hyderabad,1220.95,7.0,2.42,Loamy,Basalt,Confined,11.63
Nalgonda,951.28,6.86,4.16,Black Cotton,Basalt,Confined,13.67
Adilabad,1101.92,3.45,2.48,Loamy,Schist,Semi-confined,8.9
Khammam,1625.56,6.87,2.74,Loamy,Basalt,Unconfined,12.11
Hyderabad,1169.99,7.08,4.01,Black Cotton,Basalt,Confined,12.84
Warangal,1758.02,6.93,5.0,Black Cotton,Granite,Semi-confined,13.55
Warangal,1743.17,8.7,3.5,Red Sandy,Basalt,Confined,14.29
Hyderabad,1159.29,9.23,4.0,Laterite,Quartzite,Semi-confined,15.21
Karimnagar,1206.5,6.95,4.98,Red Sandy,Basalt,Confined,13.79
Hyderabad,1221.66,7.03,4.12,Laterite,Schist,Unconfined,12.94
Warangal,1767.01,7.78,4.89,Loamy,Basalt,Unconfined,14.68
Medak,1181.96,16.0,1.96,Laterite,Basalt,Confined,20.55
Hyderabad,1227.91,8.62,3.27,Loamy,Basalt,Unconfined,13.27
Nalgonda,1012.24,6.69,3.01,Black Cotton,Schist,Confined,12.5
Warangal,1763.98,7.03,1.88,Laterite,Basalt,Confined,10.61
Adilabad,1111.13,4.0,3.06,Loamy,Schist,Unconfined,10.03
Hyderabad,1193.33,7.27,2.41,Black Cotton,Granite,Semi-confined,10.73
Warangal,1764.39,7.48,1.64,Loamy,Schist,Semi-confined,11.48
Warangal,1794.15,9.34,3.71,Black Cotton,Basalt,Confined,15.02
Warangal,1797.18,6.54,4.17,Red Sandy,Quartzite,Semi-confined,12.59
Rangareddy,1087.7,9.32,4.36,Black Cotton,Granite,Unconfined,15.45
Rangareddy,1158.14,9.32,1.96,Laterite,Basalt,Semi-confined,12.59
Hyderabad,1145.72,9.33,3.68,Black Cotton,Quartzite,Confined,15.04
Medak,1236.09,16.16,4.14,Laterite,Basalt,Confined,23.04
Adilabad,1068.39,2.93,3.31,Loamy,Schist,Unconfined,8.18
Khammam,1554.7,8.6,4.78,Laterite,Quartzite,Unconfined,15.85
Rangareddy,1123.07,6.88,2.54,Loamy,Schist,Semi-confined,12.12
Khammam,1569.69,6.88,4.68,Laterite,Quartzite,Unconfined,14.23
Medak,1195.25,14.88,4.47,Loamy,Schist,Unconfined,20.74
Nalgonda,942.35,6.96,2.89,Red Sandy,Basalt,Unconfined,12.1
Rangareddy,1098.62,6.97,2.4,Laterite,Schist,Unconfined,11.36
Hyderabad,1197.75,7.62,3.37,Red Sandy,Schist,Unconfined,12.33
Karimnagar,1278.63,7.96,1.92,Laterite,Schist,Semi-confined,12.11
Medak,1224.58,17.2,1.7,Laterite,Basalt,Semi-confined,20.13
Mahabubnagar,1242.86,9.2,4.19,Laterite,Granite,Unconfined,16.3
Mahabubnagar,1219.67,9.36,2.97,Black Cotton,Quartzite,Confined,14.25
Khammam,1574.1,8.62,2.61,Red Sandy,Granite,Semi-confined,12.97
Hyderabad,1151.05,6.68,2.85,Red Sandy,Granite,Confined,11.23
Adilabad,1043.59,3.62,4.45,Red Sandy,Quartzite,Unconfined,10.0
Karimnagar,1284.9,7.61,1.81,Loamy,Basalt,Unconfined,12.15
Rangareddy,1147.33,7.38,1.92,Laterite,Quartzite,Unconfined,11.62
Karimnagar,1204.5,7.1,3.52,Black Cotton,Schist,Unconfined,12.23
Medak,1200.15,15.81,4.54,Red Sandy,Schist,Confined,23.09
Mahabubnagar,1267.48,6.58,3.31,Red Sandy,Schist,Unconfined,12.77
Medak,1215.28,17.26,4.23,Laterite,Quartzite,Semi-confined,24.06
Nalgonda,973.97,7.85,4.14,Black Cotton,Schist,Confined,13.34
Nalgonda,955.0,8.64,2.86,Black Cotton,Basalt,Confined,13.31
Adilabad,1104.81,3.35,4.74,Black Cotton,Schist,Semi-confined,10.57
Medak,1174.02,16.88,1.86,Laterite,Schist,Unconfined,21.62
Khammam,1576.35,6.57,3.01,Laterite,Granite,Confined,11.67
Khammam,1571.49,6.47,2.01,Red Sandy,Quartzite,Confined,10.16
Rangareddy,1116.2,6.42,1.61,Red Sandy,Quartzite,Semi-confined,9.48
Rangareddy,1072.07,7.76,2.15,Loamy,Granite,Unconfined,12.66
Karimnagar,1273.6,9.23,1.93,Laterite,Basalt,Confined,13.86
Mahabubnagar,1207.93,7.75,1.65,Laterite,Quartzite,Confined,10.96
Rangareddy,1128.37,8.66,3.62,Red Sandy,Schist,Unconfined,14.18
Warangal,1773.46,9.23,2.32,Laterite,Granite,Unconfined,13.39
Khammam,1583.0,6.94,2.77,Laterite,Basalt,Semi-confined,10.8
Karimnagar,1292.61,8.97,3.55,Red Sandy,Basalt,Semi-confined,13.83
Nizamabad,1154.77,8.56,2.39,Laterite,Schist,Semi-confined,12.11
Nalgonda,1005.5,9.17,1.9,Black Cotton,Quartzite,Semi-confined,13.12
Mahabubnagar,1266.24,7.74,3.82,Loamy,Schist,Semi-confined,12.92
Karimnagar,1238.48,8.32,2.09,Red Sandy,Basalt,Confined,11.83
Nalgonda,941.77,8.72,2.05,Laterite,Granite,Confined,13.54
Nalgonda,941.31,6.84,2.13,Laterite,Granite,Confined,10.61
Nizamabad,1082.43,9.3,1.8,Black Cotton,Quartzite,Unconfined,12.5
Khammam,1599.78,9.02,1.51,Black Cotton,Basalt,Unconfined,13.33
Adilabad,1093.36,4.68,2.13,Laterite,Granite,Confined,7.9
Hyderabad,1150.98,8.8,3.24,Loamy,Quartzite,Semi-confined,14.89
Mahabubnagar,1199.8,7.85,1.81,Red Sandy,Quartzite,Unconfined,11.3
Adilabad,1086.11,5.14,3.25,Loamy,Quartzite,Confined,10.28
Karimnagar,1254.06,7.39,1.77,Black Cotton,Quartzite,Semi-confined,12.05
Adilabad,1063.51,5.53,2.56,Laterite,Quartzite,Confined,10.97
Hyderabad,1239.36,8.99,4.67,Black Cotton,Granite,Semi-confined,14.93
Adilabad,1054.77,2.82,4.53,Red Sandy,Basalt,Semi-confined,10.32
Mahabubnagar,1211.69,7.93,4.73,Loamy,Granite,Unconfined,15.21
Nalgonda,1023.02,7.56,3.44,Black Cotton,Quartzite,Unconfined,13.42
Rangareddy,1114.29,8.98,2.58,Black Cotton,Granite,Confined,13.37
Hyderabad,1161.35,6.53,3.22,Red Sandy,Basalt,Unconfined,11.78
Hyderabad,1188.53,8.02,4.41,Black Cotton,Schist,Semi-confined,14.43
Nizamabad,1072.45,6.44,2.91,Laterite,Schist,Semi-confined,11.33
Adilabad,1073.61,5.57,2.22,Black Cotton,Schist,Unconfined,9.69
Warangal,1830.8,8.22,4.97,Black Cotton,Quartzite,Semi-confined,15.9
Rangareddy,1110.92,7.1,4.98,Laterite,Granite,Semi-confined,14.2
Khammam,1585.59,7.93,3.15,Black Cotton,Basalt,Confined,12.64
Mahabubnagar,1226.15,8.04,1.88,Red Sandy,Basalt,Unconfined,11.56
Nalgonda,931.97,9.08,1.78,Loamy,Schist,Semi-confined,12.87
Nizamabad,1118.89,8.51,4.86,Red Sandy,Basalt,Confined,14.81
Rangareddy,1085.64,6.64,3.84,Red Sandy,Granite,Unconfined,12.59
Khammam,1574.86,7.41,3.02,Red Sandy,Quartzite,Unconfined,12.72
Hyderabad,1155.71,8.21,3.41,Loamy,Schist,Semi-confined,13.5
Adilabad,1048.34,3.27,2.15,Laterite,Granite,Confined,7.9
Warangal,1826.08,7.33,2.5,Black Cotton,Schist,Confined,11.75
Khammam,1572.63,7.11,3.56,Loamy,Granite,Semi-confined,13.55
Mahabubnagar,1234.45,9.16,3.14,Red Sandy,Schist,Semi-confined,14.6
Medak,1177.54,14.96,3.67,Red Sandy,Quartzite,Unconfined,20.13
Rangareddy,1082.56,9.05,4.44,Red Sandy,Granite,Semi-confined,15.54
Mahabubnagar,1202.51,7.52,4.65,Red Sandy,Granite,Unconfined,15.12
Khammam,1625.32,9.01,4.88,Laterite,Basalt,Unconfined,16.83
Karimnagar,1277.99,8.81,3.99,Red Sandy,Schist,Semi-confined,14.49
Adilabad,1134.36,4.8,2.37,Laterite,Granite,Semi-confined,8.97
Warangal,1736.59,6.87,1.84,Laterite,Schist,Confined,11.31
Mahabubnagar,1277.79,6.73,3.22,Loamy,Quartzite,Unconfined,12.75
Khammam,1580.52,6.72,3.49,Black Cotton,Quartzite,Confined,12.09
Rangareddy,1103.01,9.17,1.83,Loamy,Quartzite,Confined,12.51
Warangal,1791.34,8.44,4.34,Black Cotton,Basalt,Unconfined,15.03
Medak,1217.58,15.79,4.08,Loamy,Basalt,Unconfined,21.64
Medak,1158.42,15.28,4.34,Loamy,Quartzite,Semi-confined,21.74
Adilabad,1105.52,4.95,3.73,Loamy,Schist,Semi-confined,10.95
Medak,1181.4,15.09,4.15,Black Cotton,Schist,Unconfined,21.97
Nalgonda,953.39,6.42,1.95,Laterite,Quartzite,Confined,10.91
Adilabad,1079.71,4.95,2.62,Loamy,Granite,Unconfined,9.79
Karimnagar,1256.24,8.68,2.0,Red Sandy,Granite,Confined,13.42
Rangareddy,1104.77,7.38,4.22,Red Sandy,Granite,Semi-confined,13.84
Medak,1228.27,14.83,2.56,Red Sandy,Granite,Unconfined,19.68
Mahabubnagar,1270.74,7.76,2.45,Black Cotton,Granite,Confined,12.43
Adilabad,1074.35,5.02,3.12,Loamy,Schist,Unconfined,10.63
Warangal,1791.04,7.64,2.79,Red Sandy,Basalt,Unconfined,12.43
Medak,1163.11,16.99,4.4,Red Sandy,Quartzite,Semi-confined,23.2
Warangal,1773.5,6.88,2.97,Loamy,Granite,Semi-confined,12.06
Rangareddy,1152.95,6.87,3.73,Laterite,Schist,Semi-confined,11.86
Warangal,1813.27,7.96,2.01,Loamy,Granite,Unconfined,11.97
Hyderabad,1236.57,9.26,3.93,Black Cotton,Basalt,Confined,14.63
Hyderabad,1218.71,7.8,1.95,Loamy,Quartzite,Unconfined,12.08
Rangareddy,1062.74,8.28,2.08,Laterite,Quartzite,Semi-confined,12.66
Karimnagar,1261.34,7.29,2.63,Laterite,Quartzite,Unconfined,11.95
Adilabad,1081.22,4.15,3.87,Laterite,Quartzite,Unconfined,9.77
Medak,1166.98,14.79,2.31,Red Sandy,Schist,Unconfined,18.29
Medak,1214.38,15.57,3.94,Red Sandy,Basalt,Semi-confined,20.71
Mahabubnagar,1276.92,7.67,2.7,Black Cotton,Schist,Unconfined,12.2
Hyderabad,1193.49,7.34,3.59,Laterite,Granite,Confined,12.88
Medak,1219.3,15.09,4.45,Red Sandy,Quartzite,Semi-confined,21.93
Nalgonda,961.56,6.78,4.73,Loamy,Quartzite,Unconfined,12.92
Rangareddy,1114.46,8.77,4.15,Red Sandy,Basalt,Confined,14.89
Khammam,1604.04,8.89,4.72,Loamy,Schist,Confined,14.92
Nalgonda,933.85,7.04,2.5,Loamy,Schist,Unconfined,11.42
Adilabad,1095.49,4.48,2.25,Black Cotton,Schist,Unconfined,8.66
Khammam,1570.91,7.16,2.09,Laterite,Basalt,Unconfined,10.7
Hyderabad,1145.93,7.88,2.47,Red Sandy,Basalt,Confined,12.43
Mahabubnagar,1195.14,8.4,2.29,Laterite,Granite,Unconfined,12.13
Nizamabad,1155.64,7.5,2.35,Black Cotton,Granite,Unconfined,11.29
Mahabubnagar,1248.03,6.44,2.48,Laterite,Basalt,Unconfined,10.43
Mahabubnagar,1273.13,7.13,4.35,Red Sandy,Quartzite,Confined,13.06
Khammam,1569.04,8.35,2.21,Loamy,Schist,Semi-confined,13.5
Adilabad,1047.25,4.15,4.8,Black Cotton,Basalt,Unconfined,10.21
Adilabad,1077.35,3.12,4.37,Laterite,Schist,Unconfined,9.0
Nalgonda,978.31,8.89,2.49,Loamy,Schist,Confined,12.41
Hyderabad,1153.53,7.8,2.17,Red Sandy,Quartzite,Semi-confined,12.19
Khammam,1636.35,6.78,2.38,Red Sandy,Schist,Confined,11.31
Khammam,1599.79,8.53,3.71,Red Sandy,Basalt,Confined,14.75
Nalgonda,943.12,7.85,3.23,Laterite,Basalt,Semi-confined,12.64
Nalgonda,1014.78,9.27,4.37,Red Sandy,Basalt,Semi-confined,15.1
Nalgonda,988.95,7.61,3.71,Black Cotton,Granite,Semi-confined,12.59
Medak,1225.34,16.59,2.41,Laterite,Quartzite,Semi-confined,20.77
Hyderabad,1200.23,9.33,3.22,Loamy,Granite,Unconfined,14.08
Hyderabad,1196.61,7.54,2.94,Black Cotton,Basalt,Unconfined,11.59
Khammam,1572.28,8.97,4.67,Loamy,Basalt,Confined,15.02
Warangal,1761.09,8.03,2.6,Laterite,Granite,Semi-confined,12.59
Rangareddy,1061.42,8.62,4.24,Red Sandy,Basalt,Confined,14.38
Rangareddy,1156.13,7.13,2.93,Loamy,Schist,Semi-confined,12.79
Karimnagar,1258.22,8.31,3.06,Red Sandy,Granite,Confined,14.34
Adilabad,1109.02,3.43,4.7,Laterite,Basalt,Semi-confined,10.84
Karimnagar,1207.59,7.4,4.55,Loamy,Granite,Confined,14.89
Nizamabad,1151.54,8.29,1.65,Laterite,Basalt,Semi-confined,11.08
Hyderabad,1154.09,9.29,2.95,Red Sandy,Basalt,Unconfined,15.08
Warangal,1737.62,9.18,4.0,Loamy,Schist,Confined,15.51
Medak,1211.62,15.61,2.28,Laterite,Granite,Unconfined,19.48
Hyderabad,1192.13,8.14,3.13,Black Cotton,Basalt,Unconfined,13.66
Nizamabad,1134.55,6.99,1.58,Red Sandy,Schist,Semi-confined,11.42
Mahabubnagar,1239.19,7.72,4.91,Red Sandy,Granite,Unconfined,13.83
Nizamabad,1088.41,7.94,4.73,Black Cotton,Granite,Confined,14.81
Medak,1180.67,17.25,4.54,Black Cotton,Granite,Unconfined,24.64
Karimnagar,1235.64,6.55,2.12,Laterite,Schist,Semi-confined,10.23
Nizamabad,1093.72,7.33,1.85,Red Sandy,Basalt,Semi-confined,10.3
Karimnagar,1215.1,6.99,3.73,Black Cotton,Quartzite,Confined,13.19
Karimnagar,1223.54,6.79,4.41,Red Sandy,Schist,Semi-confined,13.67
Adilabad,1134.46,4.57,1.99,Black Cotton,Basalt,Confined,9.0
Rangareddy,1076.69,9.2,3.51,Red Sandy,Basalt,Semi-confined,15.4
Nalgonda,964.99,7.71,3.14,Loamy,Quartzite,Confined,13.58
Nizamabad,1089.63,9.28,4.13,Loamy,Schist,Semi-confined,16.01
Medak,1241.65,16.96,3.56,Red Sandy,Basalt,Confined,23.31
Adilabad,1127.37,4.55,2.34,Laterite,Schist,Semi-confined,9.29
Medak,1213.06,15.67,2.09,Black Cotton,Schist,Unconfined,20.31
Karimnagar,1230.55,8.54,3.77,Black Cotton,Granite,Confined,14.38
Medak,1166.04,16.01,1.64,Red Sandy,Granite,Semi-confined,19.65
Rangareddy,1121.31,9.18,2.46,Loamy,Basalt,Confined,12.85
Rangareddy,1136.41,8.48,3.71,Black Cotton,Schist,Unconfined,15.18
Rangareddy,1099.98,8.08,3.78,Black Cotton,Granite,Unconfined,13.5
Hyderabad,1168.64,7.7,3.09,Laterite,Quartzite,Confined,13.62
Nalgonda,1023.11,6.92,3.39,Red Sandy,Basalt,Semi-confined,11.46
Mahabubnagar,1234.64,9.4,4.06,Black Cotton,Granite,Unconfined,16.2
Khammam,1587.58,7.21,3.47,Laterite,Granite,Semi-confined,13.37
Khammam,1650.34,9.31,4.7,Laterite,Basalt,Semi-confined,16.0
Nizamabad,1096.75,6.44,4.9,Loamy,Basalt,Confined,14.05
Warangal,1764.49,7.57,4.6,Red Sandy,Quartzite,Confined,14.68
Medak,1207.19,16.44,3.92,Loamy,Quartzite,Confined,23.36
Nizamabad,1098.56,6.49,3.91,Red Sandy,Quartzite,Semi-confined,11.9
Karimnagar,1288.2,8.77,2.28,Black Cotton,Basalt,Semi-confined,12.36
Warangal,1828.65,6.91,2.74,Black Cotton,Granite,Unconfined,12.35
Khammam,1606.48,9.07,3.82,Loamy,Granite,Unconfined,15.38
Mahabubnagar,1199.36,7.57,2.7,Loamy,Granite,Semi-confined,11.47
Hyderabad,1158.99,8.04,3.42,Black Cotton,Schist,Semi-confined,14.23
Rangareddy,1114.94,8.56,2.35,Laterite,Schist,Semi-confined,12.94
Khammam,1607.7,9.36,2.09,Loamy,Quartzite,Unconfined,12.93
Karimnagar,1284.17,8.35,4.85,Red Sandy,Schist,Unconfined,15.75
Nizamabad,1075.37,7.99,2.74,Loamy,Basalt,Semi-confined,11.78
Rangareddy,1071.33,6.53,1.72,Red Sandy,Quartzite,Unconfined,9.46
Nizamabad,1124.71,9.13,3.67,Red Sandy,Schist,Confined,15.66
Hyderabad,1241.93,7.38,3.36,Black Cotton,Schist,Semi-confined,12.89
Khammam,1609.35,8.02,4.85,Red Sandy,Granite,Confined,15.01
Medak,1210.89,16.76,3.42,Red Sandy,Granite,Semi-confined,23.07
Rangareddy,1154.28,7.26,3.36,Black Cotton,Schist,Confined,13.35
Rangareddy,1079.59,8.6,4.14,Red Sandy,Basalt,Unconfined,13.88
Karimnagar,1235.95,7.26,4.05,Red Sandy,Quartzite,Confined,13.38
Rangareddy,1143.52,7.51,4.49,Loamy,Quartzite,Semi-confined,13.26
Mahabubnagar,1270.12,6.91,3.65,Laterite,Quartzite,Semi-confined,13.34
Medak,1230.72,16.73,3.83,Red Sandy,Granite,Unconfined,23.44
Warangal,1770.98,7.13,4.76,Red Sandy,Schist,Unconfined,14.5
Medak,1207.96,15.45,2.75,Laterite,Basalt,Confined,19.67
Nalgonda,1011.97,8.6,1.89,Loamy,Basalt,Confined,13.28
Mahabubnagar,1257.32,7.0,4.58,Loamy,Schist,Unconfined,12.95
Mahabubnagar,1262.41,8.27,3.21,Black Cotton,Quartzite,Confined,12.82
Medak,1244.65,16.57,3.4,Red Sandy,Quartzite,Semi-confined,22.74
Adilabad,1125.01,3.18,3.4,Red Sandy,Quartzite,Unconfined,8.7
Medak,1160.07,14.87,2.11,Loamy,Quartzite,Unconfined,18.3
Medak,1225.47,16.63,2.54,Red Sandy,Basalt,Semi-confined,20.38
Adilabad,1073.94,3.36,4.31,Loamy,Granite,Confined,10.21
Warangal,1794.14,8.34,4.62,Loamy,Basalt,Semi-confined,14.98
Karimnagar,1294.49,7.15,2.86,Black Cotton,Quartzite,Unconfined,11.5
Warangal,1821.58,8.24,2.89,Red Sandy,Quartzite,Unconfined,12.25
Nizamabad,1102.57,7.96,4.79,Loamy,Granite,Unconfined,15.56
Nalgonda,966.38,9.2,3.58,Red Sandy,Basalt,Unconfined,13.87
Rangareddy,1133.57,7.38,4.31,Red Sandy,Basalt,Semi-confined,13.73
Warangal,1772.26,6.42,4.97,Laterite,Quartzite,Unconfined,13.48
Hyderabad,1212.13,9.25,3.9,Laterite,Basalt,Unconfined,15.54
Adilabad,1096.1,4.98,2.7,Laterite,Schist,Confined,9.17
Adilabad,1041.75,3.12,4.22,Red Sandy,Quartzite,Confined,9.29
Adilabad,1066.42,3.8,4.17,Laterite,Basalt,Semi-confined,10.72
Nizamabad,1090.59,7.77,3.2,Red Sandy,Schist,Confined,13.84
Warangal,1749.19,6.99,1.85,Laterite,Basalt,Semi-confined,10.0
Adilabad,1054.76,4.1,2.64,Black Cotton,Basalt,Confined,7.88
